模組,功能,目前用途,白話說明,資料標準,介面標準,下一版設計標準,改版注意
戰鬥,回復效果,補血/吸血/光環,"戰鬥中可以回 HP，某些職業還有隊伍光環。","回復要能來自技能、裝備、職業與 NPC 事件。","要在 log 中看得懂是怎麼補的。","下一版保留團隊支援玩法。","治療師相關"
戰鬥,怪物區分級,新手區到精英區,"不同區域有不同等級門檻與怪物難度。","zone 要有 minLevel、maxLevel、entryFee。","區域名稱要像遊戲世界，不像管理名。","下一版保留階梯成長。","玩家進度路徑"
戰鬥,世界王,多條大型 Boss 線,"大史王、古龍王、地獄狼牙王與活動島島龜王各有部位、時限或獨立規則。","Boss 要有部位血量、限時、成功/失敗狀態。","要讓玩家知道打哪個部位。","下一版簡化規則說明。","高階活動內容；實際開關看 DB"
戰鬥,戰鬥結算,發獎與下一隻怪,"打贏後結算金幣、EXP、掉落，然後切下一隻怪。","結算要分傷害、幸運掉落、參戰獎勵。","要有明確結果回報。","下一版強化結算感。","主循環收尾"
放置,掛機區,低操作資源玩法,"玩家不手動打怪也能拿金幣和經驗。","收益需有每分鐘數值、可領時長、區域門檻。","要讓玩家知道能掛多久、拿多少。","下一版強調輕鬆成長。","適合離線"
放置,掛機結算,領取掛機獎勵,"玩家回來時一鍵領收益。","要記錄開始時間、結束時間、最後領取時間。","結果要清楚顯示賺了多少。","下一版保留一鍵領。","與戰鬥可能互斥"
經濟,金幣商店,買道具與補給,"玩家用金幣或鑽石換道具、圖片、裝備等。","商品需有 price、currency、stock、maxPerMonth、allowedTiers。","商品分類要簡單清楚。","下一版保留消耗資源口。","經濟回收點"
經濟,商店分類,消耗品/裝備/圖片/特殊,"讓玩家先分種類再看商品。","itemType 要固定，分類不能亂。","分類按鈕要少且明確。","下一版分類邏輯要統一。","避免找不到商品"
經濟,拍賣場,玩家之間交易,"玩家可把裝備、卡片、強化石上架給其他人買。","拍賣資料需有價格、貨幣、到期、上架者、狀態。","要有購買、下架、領回等流程。","下一版把拍賣做成標準市場。","玩家互動經濟"
經濟,拍賣上架,玩家把物品放上去賣,"玩家決定價格與上架時間。","上架時需檢查物品類型與數量。","要能看懂自己賣的是什麼。","下一版保留但流程更直覺。","限制要清楚"
經濟,拍賣購買,玩家買別人的東西,"玩家看列表並確認購買。","購買後要扣款、入背包、紀錄交易。","確認頁要有價格與剩餘時間。","下一版保留確認機制。","避免誤買"
經濟,拍賣領回,商品到期退回,"賣家可把過期商品領回。","到期商品狀態要清楚。","領回入口要明顯。","下一版保留逾時機制。","交易必須可回收"
對戰,PK 擂台,玩家對玩家對打,"兩位玩家進場後可開打，也能下注看誰會贏。","要記錄擂台、參賽者、下注、戰報、獎勵。","要顯示擂台等級區間與剩餘狀態。","下一版保留競技，但說明要更白話。","競技內容"
對戰,PK 下注,旁觀玩家押勝負,"其他玩家可以押誰會贏。","下注金額要固定或明確規則。","下注要有確認和結果回報。","下一版保留娛樂性。","高風險功能"
對戰,PK 戰報,結算打鬥紀錄,"戰後會發戰報與獎勵。","戰報要記錄回合與結果。","戰報要讓玩家回看。","下一版保留回顧感。","可當內容產出"
社交,個人房間面板,專用個人操作空間,"管理員可發布並鎖定頻道，讓玩家在指定空間操作。","要有 channel 鎖定與解鎖邏輯。","畫面上要清楚寫『私人操作區』。","下一版若保留，定位要明確。","權限敏感"
社交,玩家查詢面板,管理員查指定玩家,"讓管理員快速看某個玩家的資料、錢包和交易。","查詢結果要包含玩家、等級、錢包、近幾筆交易。","要適合客服快速看。","下一版保留管理用途。","稽核工具"
社交,公告面板,活動或功能公告,"用來發布遊戲資訊或活動。","公告內容最好有標題、用途、連結或操作按鈕。","統一公告格式。","下一版要更像正式公告。","維持訊息品質"
社交,聊天區,玩家一般聊天,"提供遊戲內社交、閒聊與嗆聲。","聊天區與功能區要分清楚。","不要讓功能操作混在聊天。","下一版維持社交氛圍。","別干擾玩法"
管理,Discord 版位配置,設定每個功能對應頻道,"後台可以決定哪個 Discord 頻道對應哪個功能面板。","binding 需有 featureKey、channelId、enabled、note、visibleTo。","管理頁要能一眼看出每個功能綁在哪。","下一版這是主要維運工具。","你現在要用的就是這個"
管理,同步權限,把版位設定套到 Discord,"系統會依設定改頻道可見權限。","同步時要依 visibleTo 與白名單寫回 ViewChannel。","要顯示同步結果與變更數。","下一版保留一鍵同步。","很重要"
管理,玩家權限,誰可以使用玩家功能,"用角色或 user id 控制玩家面板可用範圍。","玩家權限要能支援公開、白名單、關閉三種模式。","後台要能勾選玩家與管理員可見。","下一版要更簡單地切換。","避免誤開"
管理,管理員權限,誰可以管理後台,"管理員可以發獎、查資料、改設定。","重要操作都要有稽核記錄。","高權限操作要清楚標註。","下一版保留安全追蹤。","安全性"
管理,功能發布,把面板送到 Discord 頻道,"後台可以直接把功能面板發到指定頻道。","每個功能發布後要回寫 messageId。","發布按鈕要清楚標示用途。","下一版保留一鍵發布。","避免人工重複貼"
管理,功能啟用,控制某功能是否生效,"可在後台把某個功能關掉。","enabled = false 時不應再自動刷新或顯示給玩家。","管理頁要有明確開關。","下一版任何功能都要有總開關。","你前面提到的關閉就是這個方向"
管理,可見對象,玩家/管理員顯示範圍,"後台可決定玩家看不看得到，管理員看不看得到。","visibleTo.player / visibleTo.admin 要獨立。","要讓管理者看懂差異。","下一版要支援更精細受眾。","很實用"
資料,道具系統,消耗品/圖片/裝備/徽章/卡片,"所有物品都掛在同一套資料中，只是用途不同。","itemType、tier、equipSlot、weaponType、effect 要規範化。","道具列表要清楚顯示用途。","下一版要把每種物品用途寫白話。","物品說明要統一"
資料,消耗品,一次性效果道具,"吃掉就會消失，會回金幣、鑽石、EXP、屬性或其他效果。","useEffects 要固定格式。","要讓玩家知道吃掉後會發生什麼。","下一版保留一次性消耗。","不要寫太抽象"
資料,裝備,可穿戴武器防具,"穿上會影響戰鬥數值。","equipStats、equipSlot、weaponType 必須一致。","要顯示屬性加成。","下一版裝備命名要更直覺。","核心成長"
資料,圖片收藏,純展示型道具,"主要是收藏與展示，不一定有戰鬥作用。","collectible 類型不要誤當成戰鬥道具。","要讓玩家知道是收藏品。","下一版保留收藏感。","避免誤用"
資料,職業徽章道具,職業任務獎勵與戰鬥裝備,"完成職業任務拿到的徽章。","job_badge 要走職業槽。","徽章說明要清楚寫出能加什麼。","下一版職業徽章要更像身份證明。","職業系統核心"
資料,怪物卡道具,怪物技能卡,"怪物卡裝上後會給戰鬥效果。","monster_card 要能對應技能資料。","要顯示是哪隻怪的卡、做什麼用。","下一版要做卡片定位說明。","收集與強度並重"
資料,效果系統,所有 buff/debuff/proc,"同一套效果字典支援戰鬥、商店、任務、活動等。","effect key 要統一，持續時間與堆疊方式要明確。","顯示名稱要白話，技術 key 不直接給玩家看。","下一版效果名稱要先白話化。","很適合做成字典"
資料,任務系統,每日/每週/新手/職業任務,"用任務引導玩家做事並拿獎勵。","quest 需有 cadence、type、target、reward、unlock 條件。","任務要看得到進度與獎勵。","下一版任務內容要更像遊戲目標。","引導玩家行為"
資料,任務獎勵,金幣/EXP/道具/徽章,"完成任務會給玩家回饋。","rewardGold、rewardExp、rewardItemId 要固定。","要顯示領到什麼。","下一版獎勵要清楚且不要太分散。","維持留存"
資料,等級成長,升等與屬性點,"升級會帶來屬性點與戰力提升。","level、exp、statusPoints、attributes 要一致。","要讓玩家知道升等會變強。","下一版維持成長曲線，但避免太慢。","整體節奏"
資料,金幣,主流通貨,"用來買東西、強化、交易。","gold 要是主要消耗幣。","數字顯示要清楚。","下一版要保留主要經濟循環。","不要跟鑽石混淆"
資料,鑽石,高價值通貨,"比較稀有的貨幣。","diamond 用於特殊商品或高價值功能。","顯示要與金幣明顯分開。","下一版鑽石要維持稀缺。","慎重使用"
資料,寶石,強化材料,"強化裝備的材料。","寶石需依品階對應材料 ID。","要能看出還差幾顆。","下一版保留材料收集節奏。","強化核心"
平衡,經驗與升級,升等成長,"升級會帶來屬性點與戰力提升。","需要固定的 exp 曲線與 max level。","要讓玩家知道差多少升級。","下一版避免前期太慢、後期太陡。","整體節奏"
平衡,獎勵結構,金幣/鑽石/EXP/道具,"不同玩法提供不同回饋。","每個玩法最好都有主獎勵與副獎勵。","要讓玩家知道玩這個在拿什麼。","下一版避免獎勵太分散。","留存關鍵"
平衡,強化材料,寶石與金幣消耗,"強化需要材料，成功率不會一直 100%。","強化要有成本、成功率、上限。","要讓玩家知道風險。","下一版材料是核心消耗口。","經濟消耗"
平衡,掉落率,怪物掉物品機率,"掉落不要太隨機亂掉。","掉落需要 tier、zone、怪物類型相互對應。","要顯示掉了什麼。","下一版讓掉落更可預期。","不要太黑箱"
平衡,參戰人數獎勵,多人一起打怪,"多人打怪時會有額外獎勵感。","參戰人數與獎勵池要可計算。","要顯示參戰人數。","下一版保留多人合作收益。","鼓勵組團"
運營,公告與活動,活動說明與通知,"給玩家知道現在有什麼活動或改版。","公告要有日期、目的、結束時間。","格式要統一。","下一版公告要標準化。","維持訊息品質"
運營,稽核紀錄,管理員操作留痕,"重要操作要能追蹤。","發獎、改設定、同步權限都要記錄。","查詢時要看得懂誰做了什麼。","下一版所有敏感操作都要留痕。","避免爭議"
運營,資料更新,改版前置流程,"改資料前要先看設計標準。","每次變更都要知道影響哪些功能。","最好能對照 CSV 修改。","下一版以這份 CSV 為基準。","先規劃再動手"
