模組,功能,目前用途,白話說明,下一版設計標準,備註
管理,Discord 版位配置,設定每個功能對應頻道,"後台可以決定哪個 Discord 頻道對應哪個功能面板。","這應該是下一版最重要的管理標準之一：功能、頻道、可見對象、是否啟用要清楚分開。","你現在要用的就是這個"
管理,同步權限,把版位設定套到 Discord,"系統會依設定改頻道可見權限。","下一版要保留一鍵同步，並顯示同步結果與失敗原因。","很重要"
管理,玩家權限,誰可以使用玩家功能,"用角色或 user id 控制玩家面板可用範圍。","玩家權限要能明確區分公開、白名單、僅管理員三種模式。","避免誤開"
管理,管理員權限,誰可以管理後台,"管理員可以發獎、查資料、改設定。","下一版要維持高權限操作可追蹤，所有重要動作都要有紀錄。","安全性"
資料,道具系統,消耗品/圖片/裝備/徽章/卡片,"所有物品都掛在同一套資料中，只是用途不同。","下一版要把每個物品類型的用途說清楚，避免玩家只看到名字不知道能做什麼。","物品說明要統一"
資料,效果系統,所有 buff/debuff/proc,"同一套效果字典支援戰鬥、商店、任務、活動等。","下一版效果名稱要統一白話化，避免一堆英文 key 只有工程師看得懂。","很適合做成字典"
資料,任務系統,每日/每週/新手/職業任務,"用任務引導玩家做事並拿獎勵。","下一版任務要改成『做什麼 → 為什麼 → 領什麼』的格式。","引導玩家行為"
平衡,經驗與升級,升等成長,"升級會帶來屬性點與戰力提升。","下一版要維持成長曲線，但避免前期太慢、後期太陡。","整體節奏"
平衡,獎勵結構,金幣/鑽石/EXP/道具,"不同玩法提供不同回饋。","下一版要避免獎勵太分散，每個玩法都要有一個主要收益。","留存關鍵"
平衡,強化材料,寶石與金幣消耗,"強化需要材料，成功率不會一直 100%。","下一版材料應該作為核心消耗品，但規則要清楚、不要太複雜。","經濟消耗"
文件,設計標準,下一版修改依據,"這份 CSV 會當作你改版時的共同標準。","所有新增/修改功能都要先對照這份表，確認用途、顯示方式、權限與獎勵邏輯。","建議版本控管"
